sampleID,Carbon,Concentration,Rep,Treatment,Day
ca400dP7,Casamino,400 uM-C,D,PRI,7
ca400eP7,Casamino,400 uM-C,E,PRI,7
ca40aP7,Casamino,40 uM-C,A,PRI,7
ca40bP7,Casamino,40 uM-C,B,PRI,7
ca40cP7,Casamino,40 uM-C,C,PRI,7
ca40dP7,Casamino,40 uM-C,D,PRI,7
ca40eP7,Casamino,40 uM-C,E,PRI,7
ca4aP7,Casamino,4 uM-C,A,PRI,7
ca4bP7,Casamino,4 uM-C,B,PRI,7
ca4cP7,Casamino,4 uM-C,C,PRI,7
ca4dP7,Casamino,4 uM-C,D,PRI,7
ca4eP7,Casamino,4 uM-C,E,PRI,7
ca1aP7,Casamino,1 uM-C,A,PRI,7
ca1bP7,Casamino,1 uM-C,B,PRI,7
ca1cP7,Casamino,1 uM-C,C,PRI,7
ca1dP7,Casamino,1 uM-C,D,PRI,7
ca1eP7,Casamino,1 uM-C,E,PRI,7
ca400aL10,Casamino,400 uM-C,A,LOM,10
ca400bL10,Casamino,400 uM-C,B,LOM,10
ca400cL10,Casamino,400 uM-C,C,LOM,10
ca400dL10,Casamino,400 uM-C,D,LOM,10
ca400eL10,Casamino,400 uM-C,E,LOM,10
ca40aL10,Casamino,40 uM-C,A,LOM,10
ca40bL10,Casamino,40 uM-C,B,LOM,10
ca40cL10,Casamino,40 uM-C,C,LOM,10
ca40dL10,Casamino,40 uM-C,D,LOM,10
ca40eL10,Casamino,40 uM-C,E,LOM,10
ca4aL10,Casamino,4 uM-C,A,LOM,10
ca4bL10,Casamino,4 uM-C,B,LOM,10
ca4cL10,Casamino,4 uM-C,C,LOM,10
ca4dL10,Casamino,4 uM-C,D,LOM,10
ca4eL10,Casamino,4 uM-C,E,LOM,10
ca1aL10,Casamino,1 uM-C,A,LOM,10
ca1bL10,Casamino,1 uM-C,B,LOM,10
ca1cL10,Casamino,1 uM-C,C,LOM,10
ca1dL10,Casamino,1 uM-C,D,LOM,10
ca400aP10,Casamino,400 uM-C,A,PRI,10
ca400cP10,Casamino,400 uM-C,C,PRI,10
