Day,Concentration,Carbon,Treatment,Rep,Count
0,400 uM-C,Tryptone,PRI,B,27000
0,400 uM-C,Tryptone,PRI,C,22500
0,400 uM-C,Tryptone,PRI,D,26700
0,400 uM-C,Tryptone,PRI,E,22000
1,4 uM-C,Tryptone,ABM,A,600000
1,4 uM-C,Tryptone,ABM,B,800000
1,4 uM-C,Tryptone,ABM,C,1500000
1,4 uM-C,Tryptone,ABM,D,700000
1,4 uM-C,Tryptone,ABM,E,1200000
1,4 uM-C,Tryptone,LOM,A,2300000
1,4 uM-C,Tryptone,LOM,B,900000
1,4 uM-C,Tryptone,LOM,C,2900000
1,4 uM-C,Tryptone,LOM,D,1500000
1,4 uM-C,Tryptone,LOM,E,3300000
1,4 uM-C,Tryptone,NOM,A,4300000
1,4 uM-C,Tryptone,NOM,B,2000000
1,4 uM-C,Tryptone,NOM,C,2900000
1,4 uM-C,Tryptone,NOM,D,3200000
1,4 uM-C,Tryptone,NOM,E,4900000
1,4 uM-C,Tryptone,composite,A,6600000
1,4 uM-C,Tryptone,composite,B,2900000
1,4 uM-C,Tryptone,composite,C,5800000
1,4 uM-C,Tryptone,composite,D,4700000
1,4 uM-C,Tryptone,composite,E,8200000
1,4 uM-C,Tryptone,PRI,A,4300000
1,4 uM-C,Tryptone,PRI,B,5200000
1,4 uM-C,Tryptone,PRI,C,4700000
1,4 uM-C,Tryptone,PRI,D,2300000
1,4 uM-C,Tryptone,PRI,E,3000000
1,40 uM-C,Tryptone,ABM,A,600000
1,40 uM-C,Tryptone,ABM,B,800000
1,40 uM-C,Tryptone,ABM,C,1500000
1,40 uM-C,Tryptone,ABM,D,700000
1,40 uM-C,Tryptone,ABM,E,1200000
1,40 uM-C,Tryptone,LOM,A,1000000
1,40 uM-C,Tryptone,LOM,B,3500000
1,40 uM-C,Tryptone,LOM,C,1400000
1,40 uM-C,Tryptone,LOM,D,3900000
1,40 uM-C,Tryptone,LOM,E,2600000
1,40 uM-C,Tryptone,NOM,A,4300000
1,40 uM-C,Tryptone,NOM,B,2000000
1,40 uM-C,Tryptone,NOM,C,2900000
1,40 uM-C,Tryptone,NOM,D,3200000
1,40 uM-C,Tryptone,NOM,E,4900000
1,40 uM-C,Tryptone,composite,A,5300000
1,40 uM-C,Tryptone,composite,B,5500000
1,40 uM-C,Tryptone,composite,C,4300000
1,40 uM-C,Tryptone,composite,D,7100000
1,40 uM-C,Tryptone,composite,E,7500000
1,40 uM-C,Tryptone,PRI,A,2000000
1,40 uM-C,Tryptone,PRI,B,3000000
1,40 uM-C,Tryptone,PRI,C,3000000
1,40 uM-C,Tryptone,PRI,D,1000000
1,40 uM-C,Tryptone,PRI,E,5000000
1,400 uM-C,Tryptone,ABM,A,600000
1,400 uM-C,Tryptone,ABM,B,800000
1,400 uM-C,Tryptone,ABM,C,1500000
1,400 uM-C,Tryptone,ABM,D,700000
1,400 uM-C,Tryptone,ABM,E,1200000
1,400 uM-C,Tryptone,LOM,A,960000
1,400 uM-C,Tryptone,LOM,B,1360000
1,400 uM-C,Tryptone,LOM,C,1270000
1,400 uM-C,Tryptone,LOM,D,1560000
1,400 uM-C,Tryptone,LOM,E,960000
1,400 uM-C,Tryptone,NOM,A,4300000
1,400 uM-C,Tryptone,NOM,B,2000000
1,400 uM-C,Tryptone,NOM,C,2900000
1,400 uM-C,Tryptone,NOM,D,3200000
1,400 uM-C,Tryptone,NOM,E,4900000
1,400 uM-C,Tryptone,composite,A,5260000
