Day,Concentration,Treatment,Rep,Count,Carbon
4,40 uM-C,NOM,D,2400000,Casamino Acids
4,40 uM-C,NOM,E,1800000,Casamino Acids
4,40 uM-C,composite,A,2620000,Casamino Acids
4,40 uM-C,composite,B,2720000,Casamino Acids
4,40 uM-C,composite,C,3420000,Casamino Acids
4,40 uM-C,composite,D,3960000,Casamino Acids
4,40 uM-C,composite,E,3440000,Casamino Acids
4,40 uM-C,PRI,A,2600000,Casamino Acids
4,40 uM-C,PRI,B,2300000,Casamino Acids
4,40 uM-C,PRI,C,2400000,Casamino Acids
4,40 uM-C,PRI,D,2700000,Casamino Acids
4,40 uM-C,PRI,E,2500000,Casamino Acids
4,400 uM-C,ABM,A,1550000,Casamino Acids
4,400 uM-C,ABM,B,960000,Casamino Acids
4,400 uM-C,ABM,C,1680000,Casamino Acids
4,400 uM-C,ABM,D,1290000,Casamino Acids
4,400 uM-C,ABM,E,1550000,Casamino Acids
4,400 uM-C,LOM,A,3200000,Casamino Acids
4,400 uM-C,LOM,B,1300000,Casamino Acids
4,400 uM-C,LOM,C,4700000,Casamino Acids
4,400 uM-C,LOM,D,4100000,Casamino Acids
4,400 uM-C,LOM,E,4500000,Casamino Acids
4,400 uM-C,NOM,A,1300000,Casamino Acids
4,400 uM-C,NOM,B,800000,Casamino Acids
4,400 uM-C,NOM,C,1700000,Casamino Acids
4,400 uM-C,NOM,D,2400000,Casamino Acids
4,400 uM-C,NOM,E,1800000,Casamino Acids
4,400 uM-C,composite,A,4500000,Casamino Acids
4,400 uM-C,composite,B,2100000,Casamino Acids
4,400 uM-C,composite,C,6400000,Casamino Acids
4,400 uM-C,composite,D,6500000,Casamino Acids
4,400 uM-C,composite,E,6300000,Casamino Acids
4,400 uM-C,PRI,A,2360000,Casamino Acids
4,400 uM-C,PRI,B,2360000,Casamino Acids
4,400 uM-C,PRI,C,2430000,Casamino Acids
4,400 uM-C,PRI,D,1930000,Casamino Acids
4,400 uM-C,PRI,E,1760000,Casamino Acids
7,4 uM-C,ABM,A,240000,Casamino Acids
7,4 uM-C,ABM,B,270000,Casamino Acids
7,4 uM-C,ABM,C,750000,Casamino Acids
7,4 uM-C,ABM,D,280000,Casamino Acids
7,4 uM-C,ABM,E,470000,Casamino Acids
7,4 uM-C,LOM,A,740000,Casamino Acids
7,4 uM-C,LOM,B,130000,Casamino Acids
7,4 uM-C,LOM,C,1200000,Casamino Acids
7,4 uM-C,LOM,D,1140000,Casamino Acids
7,4 uM-C,LOM,E,400000,Casamino Acids
7,4 uM-C,NOM,A,500000,Casamino Acids
7,4 uM-C,NOM,B,200000,Casamino Acids
7,4 uM-C,NOM,C,1400000,Casamino Acids
7,4 uM-C,NOM,D,2000000,Casamino Acids
7,4 uM-C,NOM,E,500000,Casamino Acids
7,4 uM-C,composite,A,1240000,Casamino Acids
7,4 uM-C,composite,B,330000,Casamino Acids
7,4 uM-C,composite,C,2600000,Casamino Acids
7,4 uM-C,composite,D,3140000,Casamino Acids
7,4 uM-C,composite,E,900000,Casamino Acids
7,4 uM-C,PRI,A,1700000,Casamino Acids
7,4 uM-C,PRI,B,2500000,Casamino Acids
7,4 uM-C,PRI,C,1300000,Casamino Acids
7,4 uM-C,PRI,D,2300000,Casamino Acids
7,4 uM-C,PRI,E,2200000,Casamino Acids
7,40 uM-C,ABM,A,240000,Casamino Acids
7,40 uM-C,ABM,B,270000,Casamino Acids
7,40 uM-C,ABM,C,750000,Casamino Acids
7,40 uM-C,ABM,D,280000,Casamino Acids
7,40 uM-C,ABM,E,470000,Casamino Acids
7,40 uM-C,LOM,A,620000,Casamino Acids
7,40 uM-C,LOM,B,660000,Casamino Acids
7,40 uM-C,LOM,C,720000,Casamino Acids
